순위,관광지명,주소,분류,lat,lon
4,국립현대미술관서울관,서울 종로구 삼청로 30-0,전시시설,37.5786280284849,126.980087994867
16,서울역사박물관,서울 종로구 새문안로 55-0,전시시설,37.5704968494713,126.97107522045
18,청와대사랑채,서울 종로구 효자로13길 45-0,전시시설,37.582544875368,126.973059283309
28,총회창립100주년기념관,서울 종로구 대학로3길 29-0,전시시설,37.5744586423861,127.000669816963
31,가나아트센터,서울 종로구 평창30길 28-0,전시시설,37.6122447138613,126.975182153045
32,국립어린이과학관,서울 종로구 창경궁로 215-0,전시시설,37.5820319129511,126.99701568979
34,서울미술관,서울 종로구 자하문로 231-0,전시시설,37.594702820251,126.963202630054
35,국립민속박물관,서울 종로구 삼청로 37-0,전시시설,37.5794848231803,126.97876366569
36,국립고궁박물관,서울 종로구 효자로 12-0,전시시설,37.5765916191985,126.974974825074
44,국제갤러리,서울 종로구 삼청로 54-0,전시시설,37.5807206678387,126.98057390782
46,서울공예박물관,서울 종로구 율곡로3길 4-0,전시시설,37.5766481740232,126.983533363501
51,화정박물관,서울 종로구 평창8길 3-0,전시시설,37.6045448453703,126.966081861578
53,대한민국역사박물관,서울 종로구 세종대로 198-0,전시시설,37.5737136067193,126.978339442463
61,윤동주문학관,서울 종로구 창의문로 119-0,전시시설,37.592096942441,126.96706863952
63,경찰박물관,서울 종로구 송월길 162-0,전시시설,37.5720572964048,126.962196007118
64,환기미술관,서울 종로구 자하문로40길 63-0,전시시설,37.5940877740173,126.966113670715
75,서울옥션하우스,서울 종로구 평창30길 24-0,전시시설,37.6118033926539,126.975102339057
76,경인미술관,서울 종로구 인사동10길 11-4,전시시설,37.5745908579478,126.985723489033
79,갤러리라메르,서울 종로구 인사동5길 26-0,전시시설,37.5725819833564,126.984868085947
99,박노수미술관,서울 종로구 옥인1길 34-0,전시시설,37.5813191962491,126.966818545949
